Name,Навчається.очно,Навчається.дистанційно,Навчається.змішано,total,offline_percent,online_percent,hybrid_percent,color,ADMIN_1,ADMIN_2,COD_2_2
"Приватна організація (установа, заклад) ""Приватний заклад загальної середньої освіти І-ІІІ ступенів ""МОДЕРН СКУЛ""","0","42","0","42","0","100","0",дистанційно,Київ,Київ,UA80000000000093317
"Товариство з обмеженою відповідальністю ""Ліцей ""Меридіан"" м. Київ""","0","12","0","12","0","100","0",дистанційно,Київ,Київ,UA80000000000093317
"Товариство з обмеженою відповідальністю  ""Київський ліцей Вега""","0","114","0","114","0","100","0",дистанційно,Київ,Київ,UA80000000000093317
"Приватна організація (установа, заклад) «Приватний заклад загальної середньої
освіти «Ліцей «Кідслайф ПЛЮС» Н","0","8","0","8","0","100","0",дистанційно,Київ,Київ,UA80000000000093317
"Товариство з обмеженою відповідальністю ""Київський ліцей Ольги Макаренко""","0","21","0","21","0","100","0",дистанційно,Київ,Київ,UA80000000000093317
"ПРИВАТНИЙ ЗАКЛАД ЗАГАЛЬНОЇ СЕРЕДНЬОЇ ОСВІТИ ""КИЇВСЬКИЙ ЛІЦЕЙ ""СВІТ МОНТЕССОРІ""","0","28","0","28","0","100","0",дистанційно,Київ,Київ,UA80000000000093317
"Приватний заклад загальної середньої освіти 
""Київський ліцей сучасних освітніх технологій ""Вікторі""
","0","89","0","89","0","100","0",дистанційно,Київ,Київ,UA80000000000093317
"ПРИВАТНИЙ ЗАКЛАД ""Вільна Вальдорфська Гімназія Київської області ""СВІТОВИД""","0","47","0","47","0","100","0",дистанційно,Київ,Київ,UA80000000000093317
"Приватний заклад освіти ""ЛІЦЕЙ КМДШ ОНЛАЙН""","0","181","1","182","0","99","1",дистанційно,Київ,Київ,UA80000000000093317
"Приватний заклад освіти ""УС КАМПУС П""","0","10","0","10","0","100","0",дистанційно,Київ,Київ,UA80000000000093317
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ПРИВАТНИЙ ЗАКЛАД ОСВІТИ ""КІНГДОМ""","0","12","0","12","0","100","0",дистанційно,Київ,Київ,UA80000000000093317
"Товариство з обмеженою відповідальністю ""Центр освіти ""Оптіма""","2","12795","0","12797","0","100","0",дистанційно,Київ,Київ,UA80000000000093317
Спеціалізована школа № 187 з поглибленим вивченням української та англійської мов м. Києва,"1","124","708","833","0","15","85",змішано,Київ,Київ,UA80000000000093317
Деснянський ліцей Деснянської селищної ради,"1","10","597","608","0","2","98",змішано,Київ,Київ,UA80000000000093317
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""АТМОСФЕРНА ШКОЛА""","17","5795","1","5813","0","100","0",дистанційно,Київ,Київ,UA80000000000093317
"м. Київ, Приватний заклад освіти ""СІНКГЛОБАЛ"", Голосіївська РДА, Київська обл","2","601","0","603","0","100","0",дистанційно,Київ,Київ,UA80000000000093317
"Товариство з обмеженою відповідальністю ""Центр дистанційної освіти ""Джерело Плюс""","2","347","0","349","1","99","0",дистанційно,Київ,Київ,UA80000000000093317
Спеціалізована школа №214 Оболонського району міста Києва,"9","37","825","871","1","4","95",змішано,Київ,Київ,UA80000000000093317
"Товариство з обмеженою відповідальністю ""Київський приватний ліцей 56""","1","54","0","55","2","98","0",дистанційно,Київ,Київ,UA80000000000093317
"""Структурний підрозділ"" Альтернативна білінгвальна школа ""ГРІН ЕППЛ"" Товариства з обмеженою відповідальністю ""ГРІН ЕППЛ""","2","104","0","106","2","98","0",дистанційно,Київ,Київ,UA80000000000093317
ЛІЦЕЙ №41 ШЕВЧЕНКІВСЬКОГО РАЙОНУ м. КИЄВА,"15","331","0","346","4","96","0",дистанційно,Київ,Київ,UA80000000000093317
"Товариство з обмеженою відповідальністю ""Центр дистанційної освіти  ""Джерело""""","34","575","0","609","6","94","0",дистанційно,Київ,Київ,UA80000000000093317
"Товариство з обмеженою відповідальністю  ""ТВОЯ МІЖНАРОДНА ШКОЛА""","3","47","0","50","6","94","0",дистанційно,Київ,Київ,UA80000000000093317
ГІМНАЗІЯ №260 МІСТА КИЄВА,"91","0","868","959","9","0","91",змішано,Київ,Київ,UA80000000000093317
"Філія ""Початкова школа"" ""Джерело""""","41","382","0","423","10","90","0",змішано,Київ,Київ,UA80000000000093317
Академічний ліцей № 47 Печерського району м. Києва,"78","0","680","758","10","0","90",змішано,Київ,Київ,UA80000000000093317
спеціалізована школа І-ІІІ ступенів з поглибленим вивченням англійської мови №15 міста Києва,"87","0","758","845","10","0","90",змішано,Київ,Київ,UA80000000000093317
Ліцей № 3 Подільського району м. Києва,"134","109","1026","1269","11","9","81",змішано,Київ,Київ,UA80000000000093317
"Приватний заклад загальної середньої освіти ""Київський ліцей ""Демократична школа ""АЛЬТЕРРА СКУЛ""","143","1201","0","1344","11","89","0",змішано,Київ,Київ,UA80000000000093317
"Приватне підприємство ""Міжнародна освітня корпорація ""Гранд-Експо"" Школа ""Гранд-Експо""","35","290","0","325","11","89","0",змішано,Київ,Київ,UA80000000000093317
м.Київ Загальноосвітня школа І-ІІІ ступенів 225 Оболонського району,"78","15","586","679","11","2","86",змішано,Київ,Київ,UA80000000000093317
"Приватна школа ""Афіни"" м.Києва","199","1357","0","1556","13","87","0",змішано,Київ,Київ,UA80000000000093317
"Загальноосвітний навчальний приватний заклад ""Хореографічна гімназія ""Кияночка""","4","0","25","29","14","0","86",змішано,Київ,Київ,UA80000000000093317
"Ліцей ""Престиж"" м.Києва","39","9","187","235","17","4","80",змішано,Київ,Київ,UA80000000000093317
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КИЄВО-ВОСКРЕСЕНСЬКИЙ ЛІЦЕЙ""","19","92","0","111","17","83","0",змішано,Київ,Київ,UA80000000000093317
"Приватний заклад ""Ліцей ""Клевер Скул""","22","104","0","126","17","83","0",змішано,Київ,Київ,UA80000000000093317
Спеціалізована школа І-ІІІ ступенів № 102 з поглибленим вивченням англійської мови,"81","112","227","420","19","27","54",змішано,Київ,Київ,UA80000000000093317
"Гімназія № 172 ""Нивки"" Шевченківського району м.Києва","120","34","442","596","20","6","74",змішано,Київ,Київ,UA80000000000093317
"Товариство з Обмеженою Відповідальністю ""Загальноосвітній Навчальний Заклад ""Фокус Освіти""","16","55","0","71","23","77","0",змішано,Київ,Київ,UA80000000000093317
"Товариство з обмеженою відповідальністю ""Приватний ліцей ""Унікум"" м. Києва""","33","103","0","136","24","76","0",змішано,Київ,Київ,UA80000000000093317
"Навчально-виховний комплекс № 183 ""Фортуна"" з поглибленим вивченням іноземних мов (спеціалізована школа І ступеня - гімназія) м.Києва","275","516","204","995","28","52","21",змішано,Київ,Київ,UA80000000000093317
Вечірня (змінна) школа № 20 м.Києва,"100","260","0","360","28","72","0",змішано,Київ,Київ,UA80000000000093317
Ліцей з початковою школою та гімназією,"380","171","682","1233","31","14","55",змішано,Київ,Київ,UA80000000000093317
спеціалізована школа 181,"142","16","237","395","36","4","60",змішано,Київ,Київ,UA80000000000093317
"Гімназія №32 ""Успіх"" Печерського району м. Києва","210","49","317","576","36","9","55",змішано,Київ,Київ,UA80000000000093317
Спеціалізована школа в № 7 ім. М.Т. Рильського м. Києва,"174","6","295","475","37","1","62",змішано,Київ,Київ,UA80000000000093317
Спеціалізована школа І-ІІІ ступенів № 189 з поглибленним вивченням англійської та німецької мов Деснянського району міста Києва,"195","0","334","529","37","0","63",змішано,Київ,Київ,UA80000000000093317
спеціалізована школа І-ІІІ ступенів з поглибленим вивченням французької мови №269 міста Києва,"399","1","667","1067","37","0","63",змішано,Київ,Київ,UA80000000000093317
Школа І-ІІІ ступенів № 256 Оболонського району М.Києва   ,"279","0","432","711","39","0","61",змішано,Київ,Київ,UA80000000000093317
"Загальноосвітній навчальний заклад І-ІІІ ступенів ""Спеціалізована школа №271 з поглибленим вивченням інформаційних технологій"" Подільського району м. Києва","268","1","409","678","40","0","60",змішано,Київ,Київ,UA80000000000093317
"Загальноосвітній навчальний заклад І-ІІІ ступенів ""Романо-германська гімназія №123"" Подільського району м.Києва","207","21","276","504","41","4","55",змішано,Київ,Київ,UA80000000000093317
спеціалізована школа І-ІІІ ступенів з поглибленим вивченням англійської мови № 44 міста Києва,"200","279","0","479","42","58","0",змішано,Київ,Київ,UA80000000000093317
Спеціалізована школа №131 Святошинського району м.Києва,"340","92","378","810","42","11","47",змішано,Київ,Київ,UA80000000000093317
"Департамент освіти і науки КМДА Приватне підприємство Навчальний заклад ""Європейський Колегіум""","271","365","0","636","43","57","0",змішано,Київ,Київ,UA80000000000093317
"Приватний заклад загальної середньої освіти ""АЙ ТІ СТЕП СКУЛ КИЇВ""","208","0","273","481","43","0","57",змішано,Київ,Київ,UA80000000000093317
