Name,Навчається.очно,Навчається.дистанційно,Навчається.змішано,total,offline_percent,online_percent,hybrid_percent,color,ADMIN_1,ADMIN_2,COD_2_2
"Улянівська гімназія з дошкільним підрозділом Братської селищної ради Вознесенського району Миколаївської області
","39","0","0","39","100","0","0",очно,Миколаївська область,Вознесенський район,UA48040000000011780
Новачиська загальноосвітня школа І-ІІ ступенів Хорольської міської ради Лубенського району Полтавської області,"0","24","0","24","0","100","0",дистанційно,Полтавська область,Лубенський район,UA53040000000081308
Новаківська гімназія Лубенської міської ради Лубенського району Полтавської області,"1","0","94","95","1","0","99",змішано,Полтавська область,Лубенський район,UA53040000000081308
"Ковалівська філія І-ІІ ступенів Опорного закладу ""Новоаврамівський ліцей"" Хорольської міської ради Лубенського району  Полтавської області","1","53","0","54","2","98","0",дистанційно,Полтавська область,Лубенський район,UA53040000000081308
"Грушинська філія І ступеня  з дошкільним підрозділом Опорного закладу ""Новоаврамівський ліцей"" Хорольської міської ради  Лубенського  району Полтавської області","1","15","0","16","6","94","0",дистанційно,Полтавська область,Лубенський район,UA53040000000081308
Повстинська філія Пирятинського ліцею №4 Пирятинської міської ради Полтавської області,"3","0","36","39","8","0","92",змішано,Полтавська область,Лубенський район,UA53040000000081308
"Клепачівський заклад загальної середньої освіти ""Початкова школа""","8","22","0","30","27","73","0",змішано,Полтавська область,Лубенський район,UA53040000000081308
"Опорний заклад ""Оріхівський ліцей імені В.М. Леонтовича"" Лубенської міської ради Лубенського району Полтавської області","67","1","138","206","33","0","67",змішано,Полтавська область,Лубенський район,UA53040000000081308
Майорщинська спеціальна  школа  Полтавської обласної ради.,"63","11","0","74","85","15","0",змішано,Полтавська область,Лубенський район,UA53040000000081308
Малютинська філія Теплівської загальноосвітньої школи І-ІІІ ступенів Пирятинської міської ради Полтавської області,"34","4","0","38","89","11","0",змішано,Полтавська область,Лубенський район,UA53040000000081308
Великокручанська гімназія Пирятинської міської ради Полтавської області,"93","5","0","98","95","5","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Опорний заклад Гребінківська загальноосвітня школа І-ІІІ ступенів №4 Гребінківської міської ради Полтавської області ,"588","16","0","604","97","3","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Гімназія імені Василя Барки Лубенської міської ради Лубенського району Полтавської області,"199","2","3","204","98","1","1",очно,Полтавська область,Лубенський район,UA53040000000081308
Кулажинська загальноосвітня школа І-ІІІ ступенів Гребінківської міської ради Полтавської області,"111","2","0","113","98","2","0",очно,Полтавська область,Лубенський район,UA53040000000081308
"Академічний ліцей ""Європейський"" Лубенської міської ради Лубенського району Полтавської області","764","12","0","776","98","2","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Короваївська гімназія Гребінківської міської ради Полтавської області,"66","1","0","67","99","1","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Плехівська гімназія Оржицької селищної ради Полтавської області,"66","1","0","67","99","1","0",очно,Полтавська область,Лубенський район,UA53040000000081308
"Опорний заклад ""Калайдинцівський  ліцей"" Лубенської міської ради Лубенського району Полтавської області","214","2","0","216","99","1","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Вищебулатецька гімназія імені Максима Халявицького Лубенської міської ради Лубенського району Полтавської області,"123","1","0","124","99","1","0",очно,Полтавська область,Лубенський район,UA53040000000081308
"Заклад освіти ""Покровськобагачанський ліцей"" Хорольської міської ради Лубенського району Полтавської області","169","1","0","170","99","1","0",очно,Полтавська область,Лубенський район,UA53040000000081308
"Опорний заклад ""Вишняківський заклад загальної середньої освіти І-ІІІ ступенів
Хорольської міської ради  Лубенського району Полтавської області""","170","1","0","171","99","1","0",очно,Полтавська область,Лубенський район,UA53040000000081308
"Опорний заклад ""Вовчицький ліцей імені В.Ф. Мицика Лубенської міської  ради Лубенського району Полтавської області"" ","171","1","0","172","99","1","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Войнихівська гімназія Лубенської міської ради Лубенського району Полтавської області,"184","1","0","185","99","1","0",очно,Полтавська область,Лубенський район,UA53040000000081308
"Опорний заклад ""Новооржицька загальноосвітня школа І-ІІІ ступенів Новооржицької селищної ради""","209","0","1","210","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Гімназія імені Володимира Малика Лубенської міської ради Лубенського району Полтавської області,"586","2","0","588","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
"Гімназія ""ПРОСВІТ"" Лубенської міської ради Лубенського району Полтавської області","352","0","1","353","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
"Опорний заклад ""Засульський ліцей Лубенської міської ради Лубенського району  Полтавської області""","461","1","0","462","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
"опорний заклад ""Хорольська гімназія Хорольської міської ради Лубенського району Полтавської області""","711","1","0","712","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Академічний ліцей імені братів Шеметів Лубенської міської ради Лубенського району Полтавської області,"915","1","0","916","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Березівська загальноосвітня школа І-ІІ ступенів Гребінківської міської ради Полтавської області,"42","0","0","42","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Гребінківська гімназія Гребінківської міської ради Полтавської області,"549","0","0","549","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Філія Гребінківська загальноосвітня школа І-ІІ ступенів №1 Опорного закладу Гребінківської загальноосвітньої школи І-ІІІ ступенів №4 Гребінківської міської ради Полтавської області,"144","0","0","144","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
філія Гребінківська загальноосвітня школа І-ІІ ступенів №2 Опорного закладу Гребінківська загальноосвітня школа І-ІІІ ступенів №4 Гребінківської міської ради Полтавської області,"82","0","0","82","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Майорщинська загальноосвітня школа І-ІІІ ступенів Гребінківської міської ради Полтавської області,"104","0","0","104","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Овсюківська гімназія Гребінківської міської ради Полтавської області,"75","0","0","75","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Рудківська гімназія Гребінківської міської ради Полтавської області,"50","0","0","50","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Слободо-Петрівська загальноосвітня школа І-ІІІ ступенів Гребінківської міської ради Полтавської області,"143","0","0","143","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Тарасівська гімназія Гребінківської міської ради Полтавської області,"58","0","0","58","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Почаївська гімназія Гребінківської міської ради Полтавської області,"73","0","0","73","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Солоницький ліцей Козельщинської селищної ради,"106","0","0","106","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
"Гирявоісковецька загальноосвітня школа І – ІІІ ступенів
Лохвицької міської ради
","92","0","0","92","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Гімназія імені Героя України Віри Роїк Лубенської  міської ради Лубенського району Полтавської  області,"424","0","0","424","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Перша гімназія імені Матвія Номиса Лубенської міської ради Лубенського району Полтавської області,"899","0","0","899","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Українська класична гімназія Лубенської міської ради Лубенського району Полтавської області,"1","0","0","1","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
" Навчально-виховний комплекс  ""Гімназія - заклад дошкільної освіти"" імені Катерини Скаржинської Лубенської міської ради Лубенського району Полтавської області","89","0","0","89","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Березотіцька класична гімназія  Лубенської міської ради  Лубенського району Полтавської області,"135","0","0","135","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Духівська гімназія імені П.М. Рака Новооржицької селищної ради,"43","0","0","43","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
"
Ісківська класична гімназія імені Тараса Шевченка 
Лубенської міської ради Лубенського району Полтавської області 





































","85","0","0","85","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Литвяківська гімназія імені Василя Милорадовича Лубенської міської ради Лубенського району Полтавської області,"59","0","0","59","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
"Михнівська гімназія ""Успіх"" Лубенської міської ради Лубенського району Полтавської області","152","0","0","152","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Снітинська гімназія Лубенської міської ради Лубенського району Полтавської області,"65","0","0","65","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
"Опорний заклад ""Тарандинцівська загальноосвітня школа І-ІІІ ступенів імені В.А.Симоненка Новооржицької селищної ради""","130","0","0","130","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Остапівський заклад загальної середньої освіти І-ІІІ ступенів Комишнянської селищної ради ,"32","0","0","32","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Савинцівська гімназія Великосорочинської сільської ради Миргородського району Полтавської області,"55","0","0","55","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Великоселецька  початкова школа   Оржицької селищної ради  Полтавської області,"11","0","0","11","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Величківська гімназія Новооржицької селищної ради,"33","0","0","33","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Денисівська загальноосвітня школа І - ІІІ ступенів імені В.В. Лесевича Оржицької селищної ради Полтавської області,"139","0","0","139","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Зарізька гімназія імені М. Т. Симонова (Номиса) Оржицької селищної ради Полтавської області,"85","0","0","85","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Круподеринська гімназія Оржицької селищної ради  Полтавської області,"39","0","0","39","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Вишнівська загальноосвітня школа І-ІІІ ступенів Новооржицької селищної ради ,"149","0","0","149","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Лазірківська  загальноосвітня школа І-ІІІ ступенів імені В.О.Підпалого Новооржицької селищної  ради ,"233","0","0","233","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Лукімська гімназія Оржицької селищної  ради  Полтавської  області,"56","0","0","56","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
"опорний заклад ""Оржицька загальноосвітня школа І-ІІІ ступенів імені І. Я. Франка Оржицької селищної ради Полтавської  області""","530","0","0","530","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Савинська гімназія імені Героя Радянського Союзу Д.І. Бабака Оржицької селищної ради Полтавської області,"63","0","0","63","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Староіржавецька гімназія Оржицької селищної ради Полтавської області,"86","0","0","86","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Тарасенківська гімназія Оржицької селищної ради Полтавської області,"47","0","0","47","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Чайківщинська початкова школа Оржицької  селищної ради  Полтавської області ,"20","0","0","20","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Чевельчанська загальноосвітня школа І-ІІІ ступенів Оржицької селищної ради Полтавської області,"116","0","0","116","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Чутівська гімназія Оржицької селищної ради Полтавської області,"67","0","0","67","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Яблунівська гімназія Оржицької селищної ради Полтавської області,"42","0","0","42","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Березоворудська загальноосвітня школа І- ІІІ ступенів Пирятинської міської ради Полтавської області,"130","0","0","130","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Вишневецька гімназія Пирятинської міської ради Полтавської області,"70","0","0","70","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Давидівська філія Новомартиновицької загальноосвітньої школи І - ІІІ ступенів Пирятинської міської ради Полтавської області,"57","0","0","57","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Дейманівська філія Пирятинського ліцею №4 Пирятинської міської ради Полтавської області,"41","0","0","41","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Новомартиновицька загальноосвітня школа І-ІІІ ступенів Пирятинської міської ради Полтавської області,"144","0","0","144","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Філія Пирятинського ліцею Пирятинської міської ради Полтавської області,"133","0","0","133","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Пирятинський ліцей №4 Пирятинської міської ради Полтавської області,"618","0","0","618","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Пирятинський ліцей №6 Пирятинської міської ради Полтавської області,"568","0","0","568","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Пирятинський ліцей Пирятинської міської ради Полтавської області,"822","0","0","822","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Смотриківська філія Теплівської загальноосвітньої школи І-ІІІ ступенів Пирятинської міської ради Полтавської області,"63","0","0","63","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Теплівська загальноосвітня школа І-ІІІ ступенів Пирятинської міської ради Полтавської області,"97","0","0","97","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Андріївський заклад загальної середньої освіти  І-ІІІ ступенів Хорольської міської  ради  Лубенського району Полтавської області,"98","0","0","98","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Вергунівська загальноосвітня школа І-ІІ ступенів Хорольської міської ради Лубенського району Полтаської області,"59","0","0","59","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Мусіївська загальноосвітня школа І-ІІІ ступенів Хорольської міської ради Лубенського району Полтавської області,"91","0","0","91","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Опорний заклад «Новоаврамівський ліцей» Хорольської міської ради Лубенського району Полтавської області,"156","0","0","156","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Петракіївський навчально-виховний комплекс Хорольської міської ради  Лубенського району Полтавської області,"113","0","0","113","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Вишневий навчально-виховний комплекс (заклад загальної середньої освіти - заклад дошкільної освіти)  Хорольської міської ради Лубенського району Полтавської області,"69","0","0","69","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Староаврамівський заклад загальної середньої освіти І - ІІІ ступенів Хорольської міської ради Лубенського району Полтавської області,"91","0","0","91","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Тарасівський заклад загальної середньої освіти I-II ступенів Хорольської міської ради Лубенського району Полтавської області,"64","0","0","64","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
"Філія ""Трубайцівський заклад загальної середньої освіти І-ІІ ступенів Хорольської міської ради Лубенського району Полтавської області"" опорного закладу ""Вишняківський заклад загальної середньої освіти І-ІІІ ступенів Хорольської міської ради Лубенського району Полтавської області"" ","42","0","0","42","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Хильківська гімназія Хорольської міської ради Лубенського району Полтавської області,"45","0","0","45","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
"опорний заклад ""Хорольський заклад загальної середньої освіти І-ІІІ ступенів №1 Хорольської міської ради Лубенського району Полтавської області""","233","0","0","233","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
"опорний заклад ""Хорольський заклад загальної середньої освіти І - ІІІ ступенів №3"" Хорольської міської ради Лубенського району Полтавської області","175","0","0","175","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Хорольський навчально-виховний комплекс (загальноосвітній навчальний заклад І-ІІІ ступенів - дошкільний навчальний заклад) Хорольської міської ради Лубенського району Полтавської області ,"126","0","0","126","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Штомпелівська загальноосвітня школа І-ІІІ ступенів Хорольської міської ради Лубенського району Полтавської області,"128","0","0","128","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
"Опорний заклад ""Ялосовецький заклад загальної середньої освіти І-ІІІ ступенів Хорольської міської ради Лубенського району Полтавської області""","85","0","0","85","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Білоусівська початкова школа імені В.П.Мележика Чорнухинської селищної ради Полтавської області,"9","0","0","9","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Вороньківський ліцей імені О.Д. Перелета Чорнухинської селищної ради Полтавської області,"145","0","0","145","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Гілецький ліцей Чорнухинської селищної ради Полтавської області,"83","0","0","83","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Кізлівський ліцей імені  В.П.Лугового Чорнухинської селищної ради Полтавської області,"133","0","0","133","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Мокиївська гімназія Чорнухинської селищної ради Полтавської області,"42","0","0","42","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
 Чорнухинський ліцей імені Г.С.Сковороди Чорнухинської селищної ради Полтавської області,"380","0","0","380","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Лубенська спеціальна школа Полтавської обласної ради,"107","0","0","107","100","0","0",очно,Полтавська область,Лубенський район,UA53040000000081308
Дюлянська гімназія Пийтерфолвівської сільської ради Берегівського району Закарпатської області,"99","22","0","121","82","18","0",змішано,Закарпатська область,Берегівський район,UA21020000000051405
Оклігедьська гімназія Пийтерфолвівської сільської ради Берегівського району Закарпатської області,"85","13","0","98","87","13","0",змішано,Закарпатська область,Берегівський район,UA21020000000051405
Чорнотисівський заклад загальної середньої освіти І-ІІІ ступенів Пийтерфолвівської сільської ради Берегівського району Закарпатської області,"270","34","0","304","89","11","0",змішано,Закарпатська область,Берегівський район,UA21020000000051405
Виноградівська загальноосвітня школа І-ІІІ ступенів №4 Виноградівської міської ради Закарпатської області,"643","42","0","685","94","6","0",очно,Закарпатська область,Берегівський район,UA21020000000051405
"
Хижанський заклад загальної середньої освіти І-ІІІ ступенів - заклад дошкільної освіти Королівської селищної ради Закарпатської області ","225","0","12","237","95","0","5",очно,Закарпатська область,Берегівський район,UA21020000000051405
Веряцька гімназія  Королівської селищної ради  Берегівського району Закарпатської області,"165","7","0","172","96","4","0",очно,Закарпатська область,Берегівський район,UA21020000000051405
Холмовецька гімназія Пийтерфолвівської сільської  ради Берегівського району  Закарпатської області,"88","2","0","90","98","2","0",очно,Закарпатська область,Берегівський район,UA21020000000051405
Королівський заклад загальтної середньої освіти  І - ІІІ ступенів №2 Королівської селищної ради Берегівського району  Закарпатської області,"411","4","0","415","99","1","0",очно,Закарпатська область,Берегівський район,UA21020000000051405
Виноградівська загальноосвітня школа І-ІІІ ступенів №1 Виноградівської міської ради Закарпатської області,"826","5","0","831","99","1","0",очно,Закарпатська область,Берегівський район,UA21020000000051405
Чертезька гімназія Середнянської селищної ради Ужгородського району Закарпатської області,"89","0","0","89","100","0","0",очно,Закарпатська область,Берегівський район,UA21020000000051405
Берегівська гімназія імені Ганни Горват Берегівської міської ради Закарпатської області,"108","0","0","108","100","0","0",очно,Закарпатська область,Берегівський район,UA21020000000051405
"Берегівська гімназія ""Опре Рома"" Берегівської міської ради Закарпатської області","288","0","0","288","100","0","0",очно,Закарпатська область,Берегівський район,UA21020000000051405
"Берегівська гімназія імені Шандора Петефі, Берегівської міської ради, Закарпатської області","73","0","0","73","100","0","0",очно,Закарпатська область,Берегівський район,UA21020000000051405
Берегівський ліцей імені Ф. Потушняка Берегівської міської ради Закарпатської області,"685","0","0","685","100","0","0",очно,Закарпатська область,Берегівський район,UA21020000000051405
"Берегівський ліцей імені Ілони Зріні Берегівської міської ради Закарпатської області


","217","0","0","217","100","0","0",очно,Закарпатська область,Берегівський район,UA21020000000051405
Берегівський ліцей імені Лайоша Кошута Берегівської міської ради Закарпатської області,"541","0","0","541","100","0","0",очно,Закарпатська область,Берегівський район,UA21020000000051405
Ліцей імені Т.Г. Шевченка з поглибленим вивченням англійської мови Берегівської міської ради Закарпатської області,"589","0","0","589","100","0","0",очно,Закарпатська область,Берегівський район,UA21020000000051405
Берегівський ліцей імені Мікеша Келемена Берегівської міської ради Закарпатської області,"254","0","0","254","100","0","0",очно,Закарпатська область,Берегівський район,UA21020000000051405
"Берегівський ліцей ""Платан"" Берегівської міської ради Закарпатської області","265","0","0","265","100","0","0",очно,Закарпатська область,Берегівський район,UA21020000000051405
Батівська гімназія Батівської  селищної ради Берегівського району Закарпатської області,"156","0","0","156","100","0","0",очно,Закарпатська область,Берегівський район,UA21020000000051405
Батівський ліцей Батівської селищної ради Берегівського району Закарпатської області,"184","0","0","184","100","0","0",очно,Закарпатська область,Берегівський район,UA21020000000051405
Берегівський ліцей імені Габора Бетлена Берегівської міської ради Закарпатської області,"227","0","0","227","100","0","0",очно,Закарпатська область,Берегівський район,UA21020000000051405
Великобактянська початкова школа Берегівської міської ради Закарпатської області,"16","0","0","16","100","0","0",очно,Закарпатська область,Берегівський район,UA21020000000051405
Кідьошська початкова школа Берегівської міської ради Закарпатської області,"21","0","0","21","100","0","0",очно,Закарпатська область,Берегівський район,UA21020000000051405
Горонглабська гімназія Батівської селищної ради Берегівського району Закарпатської області,"48","0","0","48","100","0","0",очно,Закарпатська область,Берегівський район,UA21020000000051405
Астейська початкова школа Великобийганської сільської ради Берегівського району Закарпатської області,"17","0","0","17","100","0","0",очно,Закарпатська область,Берегівський район,UA21020000000051405
Батрадівська початкова школа Батівської селищної ради Берегівського району Закарпатської області,"12","0","0","12","100","0","0",очно,Закарпатська область,Берегівський район,UA21020000000051405
Гунядівська початкова школа Великобийганської сільської ради,"20","0","0","20","100","0","0",очно,Закарпатська область,Берегівський район,UA21020000000051405
Каштанівська початкова школа філія закладу загальної середної освіти Косоньської ліцей імені Арань Яноша Косоньської сільської ради Закарпатської області,"11","0","0","11","100","0","0",очно,Закарпатська область,Берегівський район,UA21020000000051405
Свободянська початкова школа Батівської селищної ради Берегівського району Закарпатської області,"44","0","0","44","100","0","0",очно,Закарпатська область,Берегівський район,UA21020000000051405
Данилівська початкова школа Батівської селищної ради Берегівського району Закарпатської області,"13","0","0","13","100","0","0",очно,Закарпатська область,Берегівський район,UA21020000000051405
Бадалівська гімназія імені Йожефа Гводані Берегівської міської ради Закарпатської області,"82","0","0","82","100","0","0",очно,Закарпатська область,Берегівський район,UA21020000000051405
Батрадівська гімназія Батівської селищної ради Берегівського району Закарпатської області ,"155","0","0","155","100","0","0",очно,Закарпатська область,Берегівський район,UA21020000000051405
Бенянська гімназія Берегівської міської ради Закарпатської області,"67","0","0","67","100","0","0",очно,Закарпатська область,Берегівський район,UA21020000000051405
Берегуйфалівська гімназія - філія Великоберезького закладу загальної середньої освіти  імені Добраі Петера Великоберезької сільської ради Берегівського району Закарпатської області,"172","0","0","172","100","0","0",очно,Закарпатська область,Берегівський район,UA21020000000051405
Боржавська гімназія Берегівської міської ради Закарпатської області,"67","0","0","67","100","0","0",очно,Закарпатська область,Берегівський район,UA21020000000051405
Великобийганська гімназія Великобийганської сільської ради Берегівського району Закарпатської області,"77","0","0","77","100","0","0",очно,Закарпатська область,Берегівський район,UA21020000000051405
Галаборська гімназія Берегівської міської ради Закарпатської області,"58","0","0","58","100","0","0",очно,Закарпатська область,Берегівський район,UA21020000000051405
